@relation Pacific_Law_plastics_1-V3

@attribute ﻿Long(E) numeric
@attribute Lat(N) numeric
@attribute 'Plastic conc. (pieces/km2)' numeric

@data
-117.18,32.42,4320
-117.18,31.54,5940
-115.88,27.8,540
-110.98,23.06,540
-109.94,22.87,2700
-109.92,24.52,4320
-109.17,24.38,540
-108.52,23.8,1080
-107.84,23.28,2700
-107.6,22.47,11570
-106.06,19.12,540
-105.82,18.18,540
-105.74,17.77,540
-102.62,17.25,4320
-99.24,16.33,5400
-98.47,15.78,2117
-96.5,14.41,1620
-93.01,10.26,1080
-89.24,6.79,540
-87.09,5.89,1080
-85.93,6.97,540
-85.33,8.45,2160
-87,7.34,509
-86.51,6.13,1028
-88.07,3.73,540
-111.97,-5.98,2160
-115.83,-6.99,540
-123.12,-8.53,1059
-124.85,-7.92,362
-149.8,-16.32,2700
-149.66,-16.1,1080
-149.55,-15.9,509
-148.36,-15.87,535
-148.18,-15.54,1620
-147.24,-14.57,540
-146.61,-14.39,540
-146.43,-14.5,1080
-146.41,-14.41,1080
-145.06,-13.65,1543
-141.91,-11.65,1080
-141.93,-11.71,346
-150.85,14.55,1080
-151.6,16.29,1080
-154.98,19.86,1080
-155.54,20.57,540
-157.7,20.85,1028
-157.38,20.24,7714
-157,19.62,3740
-156.24,19.09,5343
-156.72,18.01,2722
-157.24,17.23,1714
-158.46,14.89,1723
-158.97,13.98,4860
-159.47,13.22,2038
-159.95,12.15,1059
-160.22,11.37,519
-160.68,9.37,900
-160.8,8.7,600
-161.9,5.76,1200
-162.95,6.67,3115
-165.95,10.61,491
-170.01,17.47,923
-170.6,18.54,1080
-171.91,19.81,557
-174.74,23.89,545
-176.28,26.22,11522
-177.03,27.55,13505
-166.54,26.8,88785
-165.56,26.24,2659
-151.69,32.57,87820
-151.55,33.93,56794
-133.92,44.88,4345
-132.29,45.68,2269
-132.76,52.53,3240
-135.65,53.43,1038
-134.24,55.38,6230
-124.93,48.34,519
-125.22,47.19,535
-124.24,46.37,540
-124.36,46.1,23758
-125.27,44.64,1981
-117.33,32.64,6599
-119.57,32.6,13499
-120.45,32.21,1080
-111.12,26.88,1080
-109.37,23.89,545
-108.3,21.5,540
-105.6,21.44,1161
-106.46,22.17,3600
-108.72,23.14,535
-109.38,23.63,9116
-115.08,17.64,535
-117.44,14.61,1604
-117.78,13.31,1059
-117.85,11.94,1620
-120.39,9.92,1161
-128.9,5.74,514
-157.79,21.18,6352
-157.49,20.94,21384
-157.2,19.66,2812
-156.98,19.47,469
-156.49,19.51,3446
-156.38,19.36,600
-156.27,18.95,600
-155.1,17.68,540
-148.13,8.64,1080
-146.51,6.25,540
-140.21,-6.72,614
-140.48,-5.62,540
-142.18,-8.49,535
-149.74,-17.14,1080
-149.32,-16.61,1080
-147.78,-14.7,1800
-147,-14.92,1080
-138.44,-11.18,1620
-143.03,0.89,540
-144.23,6.39,1350
-145.47,8.19,500
-155,19.23,29158
-157.55,21.82,432
-157.43,22.5,540
-157.12,23.43,524
-156.87,24.08,9179
-156.82,26.59,2174
-156.71,29.94,14470
-155.93,30.31,23113
-151.97,33.34,20303
-149.9,36.34,11422
-149.44,37.03,13932
-148.97,37.73,10130
-147.72,39.76,1264
-146.64,41.07,19438
-143.62,41.18,6612
-137.24,41.07,6612
-135.73,40.82,3987
-134.88,40.68,48609
-134.42,40.58,40135
-133.51,40.38,43138
-132.23,40.16,10571
-130.79,39.9,22833
-118.32,33.26,3600
-118.6,33.1,524
-111.06,23.35,1080
-110.56,23.15,540
-109.47,22.99,4860
-109.76,24.21,11339
-110.45,26.21,540
-108.79,23.52,1080
-109.09,22.76,4860
-109.67,21.42,540
-109.97,21.15,540
-110.68,19.8,1080
-108.4,19.43,9179
-106.8,20.14,1080
-106.35,20.35,1620
-106.08,19.95,2160
-106.66,19.24,4860
-108.32,17.55,12419
-108.86,16.88,34017
-109.22,16.36,19438
-109.65,16.28,4320
-109.66,16.13,3780
-110.96,15.25,1080
-111.93,14.12,2160
-112.61,13.69,540
-112.94,12.95,2700
-114.13,11.44,2700
-115.99,8.38,540
-136.36,-7.42,540
-144.28,-14.1,2700
-150.9,-16.56,1080
-150.98,-16.9,540
-150.22,-16.8,540
-157.32,20.76,13499
-156.21,19.7,4320
-156.23,19.29,1620
-157.1,18.48,4050
-157.46,18.06,3240
-161.69,5.27,600
-162.13,5.8,2880
-162.33,7.8,4154
-162.32,8.44,2314
-162.38,8.68,8099
-162.36,9.55,1080
-162.45,10.23,600
-162.75,12.73,1080
-162.43,15.36,6075
-162.61,16.21,794
-157.86,21.25,1137
-157.75,21.07,2216
-157.6,21.74,4320
-157.29,21.56,8101
-157.03,22.31,20248
-156.02,23.95,7874
-151.8,28.46,28021
-151,29.83,58027
-150.53,30.83,4321
-149.99,31.54,90844
-149.98,31.96,10895
-149.39,34.67,652839
-149.22,36.82,10937
-149.57,38.4,112155
-147.75,45.05,665
-132.84,54.36,2160
-130.73,49.4,540
-125.63,40.4,540
-117.9,32.75,600
-117.49,32.62,831
-118.53,33.57,10349
-119.08,33.7,540
-122.61,31.55,223182
-122.99,31.35,678031
-123.07,31.22,81533
-122.97,30.64,15119
-120.98,29.73,540
-110.37,22.95,2700
-108.22,23.59,1080
-107.88,23.68,540
-107.73,23.78,540
-110.97,25.88,2700
-105.99,20.51,2700
-105.67,20.72,2999
-107.19,19.64,4049
-108.41,19.09,1620
-110.77,18.03,1800
-111.95,17.75,4646
-112.93,17.48,5400
-113.97,17.13,1800
-114.7,16.73,1080
-114.88,16.57,10799
-115.3,15.63,540
-115.79,14.59,1350
-116.14,13.76,864
-116.9,12.69,1620
-119.51,8.23,771
-129.56,-1.11,720
-131.68,-2.97,540
-136.59,-7.98,540
-138.38,-9.43,831
-138.87,-9.59,1080
-139.58,-9.85,540
-149.27,-16.85,611
-149.02,-16.4,865
-142.41,-9.7,5021
-139.72,-9.7,609
-140.16,-8.99,404
-144.56,5.61,525
-146.43,10.82,1284
-147.19,12.13,568
-147.43,12.63,257
-147.58,12.82,1413
-157.28,20.52,2160
-156.81,17.93,720
-156.75,17.02,3780
-156.66,16.04,540
-155.7,11.11,1080
-155.61,8.7,337
-155.7,7.83,540
-155.71,5.8,506
-155.65,5.15,450
-160.29,4,22138
-161.25,5.48,2160
-157.21,18.6,2160
